word,phonetic,pos,meaning,example_en,example_zh,tags,difficulty
advanced,əd'vɑ:nst,adj.,"在前的, 高级的, 先进的, 年老的；预付的, 预支的, 垫付的",,,四级,1
advantage,əd'vɑ:ntidʒ,n./v.,"优点, 便利, 好处, 优势；有助于",,,四级,1
adventure,əd'ventʃə,n./v.,"冒险, 冒险经历；冒险",,,四级,1
adverb,'ædvə:b,n.,副词,,,四级,2
advertise,'ædvətaiz,v.,"做广告, 通知, 公布；做广告",,,四级,1
advertisement,.ædvə'taizmənt,n.,"广告, 启事, 广告宣传；广告, 公告, 告示",,,四级,1
advice,əd'vais,n.,"忠告, 劝告, 意见, 报道, 通知；通知书, 通知, 建议",,,四级,1
advisable,əd'vaizəbl,adj.,"适当的, 明智的",,,四级,2
advise,əd'vaiz,v.,"劝告, 给...出主意, 通知, 建议；提意见, 商量",,,四级,1
advocate,'ædvəkeit,n./v.,"提倡者, 拥护者；主张, 提倡",,,四级,1
aeroplane,'єərəplein,n.,飞机；飞机,,,四级,2
affair,ə'fєə,n.,"事件, 事务, 恋爱事件",,,四级,1
affect,ə'fekt,v./n.,"影响, 感动, 假装, 模仿, 爱好, 倾向于；自觉感情",,,四级,1
affection,ə'fekʃən,n.,"影响, 病, 喜爱, 情感, 倾向；疾患, 病变, 病; 感情",,,四级,1
affluent,'æfluənt,adj./n.,"丰富的, 富裕的；支流, 富人",,,四级,2
afford,ə'fɒ:d,v.,"买得起, 足以, 给予",,,四级,1
africa,'æfrikə,n.,非洲,,,四级,1
african,'æfrikən,n./adj.,"非洲人；非洲的, 非洲人的",,,四级,1
afterward,'ɑ:ftəwəd,adv.,"然后, 后来",,,四级,2
against,ə'geinst,prep.,"反对, 对着, 倚靠",,,四级,1
agency,'eidʒənsi,n.,"代理机构, 经销商, 中介；办事处",,,四级,1
agent,'eidʒənt,n.,"代理商, 政府代表, 动原, 媒介；代理程序",,,四级,1
aggressive,ə'gresiv,adj.,"侵略的, 挑畔的, 进取的；侵略的, 爱挑衅的, 行为过火的",,,四级,1
agony,'ægəni,n.,"极大的痛苦, 挣扎；濒死苦闷; 剧痛",,,四级,2
agriculture,'ægrikʌltʃə,n.,"农业；农业, 农学",,,四级,1
aid,eid,n./v.,"帮助, 外援, 助手；援助, 帮助, 有助于；帮助；自动内部诊断",,,四级,1
aim,eim,n./v.,"目标, 瞄准, 击中目标的能力；对准目标, 致力, 打算；瞄准；医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块；应用接口模块, 医学人工智能, 相联索引法, 异步接口模块；自动化信息管理, 自动化综合制造, 自动化库存管理",,,四级,1
aircraft,'єəkræft,n.,"航空器, 飞机；航空器",,,四级,1
airline,'єəlain,n.,"航线, 航线的设备, 航空公司",,,四级,1
airplane,'єəplein,n.,飞机；飞机,,,四级,2
alarm,ə'lɑ:m,n./v.,"惊恐, 警报, 警钟；使惊恐, 警告；报警信号",,,四级,1
alcohol,'ælkəhɒl,n.,"酒精, 酒；醇; 乙醇; 酒精",,,四级,1
alert,ə'lə:t,adj./n./v.,"警觉的, 灵敏的, 留心的；警报；使警觉, 通知, 使意识到",,,四级,1
algebra,'ældʒibrə,n.,代数学,,,四级,2
alike,ə'laik,adj./adv.,"相似的, 同样的；一样, 以同样的方式",,,四级,1
alive,ə'laiv,adj.,"活着的, 活泼的, 敏感的, 热闹的",,,四级,1
allow,ə'lau,v.,"允许, 同意给予, 承认；容许, 猜想；允许命令",,,四级,1
alloy,'ælɒi. ə'lɒi,n./v.,"合金；将...铸成合金, 减低成色；合铸",,,四级,2
alone,ə'ləun,adj./adv.,"孤独的, 单独的, 独自的；独自地",,,四级,1
aloud,ə'laud,adv.,"出声地, 大声地",,,四级,2
alphabet,'ælfəbit,n.,字母；字母表,,,四级,2
alter,'ɒ:ltə,v.,改变,,,四级,1
alternative,ɒ:l'tə:nətiv,n./adj.,"两者择一, 供替代的选择；两者择一的, 供选择的；选择对象",,,四级,1
although,ɒ:l'ðou,conj.,"虽然, 尽管",,,四级,1
altitude,'æltitju:d,n.,"高度, 海拔, 高处；高度",,,四级,2
altogether,.ɒ:ltə'geðə,adv.,"完全地, 总而言之",,,四级,1
aluminium,.ælju'miniəm,n./adj.,铝；铝的,,,四级,2
aluminum,ə'lu:minəm,n.,铝；铝Al,,,四级,2
amaze,ə'meiz,v.,使吃惊,,,四级,2
ambition,æm'biʃən,n.,"野心, 志向",,,四级,1
ambulance,'æmbjuləns,n.,救护车；救护车,,,四级,1
amongst,ə'mʌŋst,prep.,"在...当中, 在...之间, 在...之中",,,四级,1
amount,ə'maunt,n./v.,"总数, 总额；总计, 等同",,,四级,1
ampere,'æmpєə,n.,安培；安培,,,四级,3
amplify,'æmplifai,v.,"增强, 放大, 扩大, 详述；引伸",,,四级,2
amuse,ə'mju:z,v.,"消遣, 娱乐, 使发笑",,,四级,2
analyse,'ænəlaiz,v.,"分析, 细察, 分解；分析",,,四级,1
analysis,ə'næləsis,n.,分析；分析机; 分析员; 分析; 分析程序,,,四级,1
analyze,'ænəlaiz,v.,"分析, 细察, 分解；分析",,,四级,2
ancestor,'ænsestə,n.,"祖先, 祖宗",,,四级,1
anchor,'æŋkə,n./v.,"锚；抛锚停泊, 使固定；锚",,,四级,2
ancient,'einʃənt,adj.,"古代的, 古老的, 年老的, 旧的",,,四级,1
angel,'eindʒəl,n.,"天使, 守护神, 善人",,,四级,1
anger,'æŋgə,n./v.,"忿怒；激怒, 使发怒；发怒",,,四级,1
angle,'æŋgl,n./v.,"角, 角度, 角落；钓鱼, 谋取, 博取, 斜向移动, 转变角度；使转动角度, 在...钓鱼, 获取",,,四级,1
ankle,'æŋkl,n.,"踝；踝, 踝关节",,,四级,1
announce,ə'nauns,v.,"宣布, 声称, 显示, 预告；当报幕员, 宣布参加竞选",,,四级,1
announcer,ə'naunsə,n.,"节目报告员, 宣告者",,,四级,2
annual,'ænjuəl,n./adj.,"年刊, 年报；每年的, 一年一次的, 全年的, 一年生的",,,四级,1
ant,ænt,n.,蚂蚁,,,四级,2
anticipate,æn'tisipeit,v.,"预期, 占先, 加速, 提前使用；提前出现, 先期发生",,,四级,1
anxiety,æŋ'zaiəti,n.,"焦虑, 忧虑, 令人焦虑的事；焦虑",,,四级,1
anxious,'æŋʃəs,adj.,"忧虑的, 发愁的, 渴望的",,,四级,1
anyhow,'enihau,adv.,"无论如何, 至少",,,四级,2
anyone,'eniwʌn,pron.,任何人,,,四级,1
anyway,'eniwei,adv.,"无论如何, 至少",,,四级,1
anywhere,'enihwєə,adv.,无论何处,,,四级,1
apart,ə'pɑ:t,adv./adj.,"成零碎, 成距离, 分别地, 分离着；分离的",,,四级,1
apartment,ə'pɑ:tmənt,n.,"房间, 公寓",,,四级,1
apologize,ə'pɒlədʒaiz,v.,"道歉, 辩解",,,四级,2
apology,ə'pɒlədʒi,n.,"道歉, 辩护；道歉, 谢罪, 辩解者",,,四级,1
apparatus,.æpə'reitəs,n.,"装置, 器具, 器官；仪器; 器械",,,四级,2
apparent,ə'pærənt,adj.,"清晰可见的, 显然的, 表面上的；外在的",,,四级,1
appeal,ə'pi:l,n./v.,"恳求, 诉请, 上诉, 吸引力；呼吁, 诉请, 要求, 上诉, 有吸引力；将...上诉",,,四级,1
appear,ə'piə,v.,"出现, 显得, 来到；出庭, 到案, 出现",,,四级,1
appearance,ə'piərəns,n.,"出现, 露面, 外观, 外表, 出版；外观, 版面",,,四级,1
appetite,'æpitait,n.,"食欲, 欲望, 爱好；食欲",,,四级,2
applause,ə'plɒ:z,n.,"鼓掌, 喝彩, 赞许",,,四级,2
appliance,ə'plaiəns,n.,"器械, 用具, 应用；矫正器; 器",,,四级,2
applicable,'æplikəbl,adj.,"合适的, 可应用的；适用的, 适应的",,,四级,1
applicant,'æplikənt,n.,"申请者；申请人, 请求人, 谋事人",,,四级,1
application,.æpli'keiʃən,n.,"应用, 申请, 志愿书, 应用程序；应用, 应用程序",,,四级,1
apply,ə'plai,v.,"涂, 应用；申请, 适用",,,四级,1
appoint,ə'pɒint,v.,"任命, 指定, 下令；派, 派任, 任命",,,四级,1
appointment,ə'pɒintmənt,n.,"约会, 委任的职位, 委派；任命, 派, 指定",,,四级,1
appreciate,ə'pri:ʃieit,v.,"赏识, 鉴别, 为...而感激, 领会, 欣赏；增值, 涨价",,,四级,1
approach,ə'prəutʃ,n./v.,"接近, 入门；接近, 近似, 找...商量；靠近",,,四级,1
appropriate,ə'prəupriət,adj.,"适当的；适当的, 拨出, 占用",,,四级,1
approval,ə'pru:vl,n.,"赞成, 批准；核准",,,四级,1
approve,ə'pru:v,v.,"赞同, 核准, 为...提供证据；赞许",,,四级,1
approximate,ə'prɒksimət,adj./v.,"大约的, 接近的, 近似的；接近, 使接近, 粗略估计；接近于",,,四级,2
approximately,ə'prɒksimətli,adv.,"大约, 大致, 近于；大约, 近似",,,四级,1
arabian,ə'reibiən,adj.,"阿拉伯的, 阿拉伯人的",,,四级,2
arbitrary,'ɑ:bitrəri,adj.,"任意的, 武断的, 专治的, 霸道的",,,四级,2
architect,'ɑ:kitekt,n.,"建筑师, 设计者, 缔造者",,,四级,1
architecture,'ɑ:kitektʃə,n.,"建筑学, 建筑式样；体系结构",,,四级,1
area,'єəriə,n.,"区域, 面积, 范围, 空地；区域",,,四级,1
argue,'ɑ:gju,v.,"提出理由, 争论, 辩论；主张, 辩论, 证明, 说服",,,四级,1
argument,'ɑ:gjumənt,n.,"争论, 论证, 论据, 自变量；参数",,,四级,1
arise,ə'raiz,v.,"站立, 出现, 起来",,,四级,1
arithmetic,ə'riθmətik,n.,"算术, 算术知识；算术; 算术的",,,四级,2
army,'ɑ:mi,n.,"军队, 陆军",,,四级,1
arouse,ə'rauz,v.,"唤醒, 鼓励, 引起；醒来",,,四级,1
arrange,ə'reindʒ,v.,"安排, 排列, 达成协议；重排",,,四级,1
arrangement,ə'reindʒmənt,n.,"排列, 整齐, 安排；排列",,,四级,1
arrest,ə'rest,n./v.,"逮捕, 监禁；拘捕, 抑制, 吸引, 阻止",,,四级,1
arrival,ə'raivl,n.,"到达, 抵达, 到达者；到达, 到达物",,,四级,1
arrow,'ærəu,n.,"箭, 箭状物, 箭头记号",,,四级,1
art,ɑ:t,n.,"艺术, 人文科学, 技术, 巧妙, 诡计, 美术；实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",,,四级,1
article,'ɑ:tikl,n.,"文章, 冠词, 物品, 物件, 条款, 契约；信件",,,四级,1
artificial,.ɑ:ti'fiʃəl,adj.,"人造的, 假的, 非原地产的；人工的, 人造的, 伟牟",,,四级,1
artist,'ɑ:tist,n.,"艺术家, 画家",,,四级,1
artistic,ɑ:'tistik,adj.,"艺术的, 艺术家的, 富有艺术性的",,,四级,1
ascribe,ə'skraib,v.,"归因于, 归咎于；归咎于",,,四级,2
ash,æʃ,n.,"灰, 灰烬；灰分",,,四级,1
ashamed,ə'ʃeimd,adj.,"惭愧的, 羞耻的",,,四级,2
aside,ə'said,n./adv.,"小声说的话, 旁白；在一边, 离开, 另外",,,四级,1
asleep,ə'sli:p,adj./adv.,"睡着的, 长眠的, 麻木的；熟睡地",,,四级,1
aspect,'æspekt,n.,"外观, 方面, 面貌, 方向；方面, 局面; 外观",,,四级,1
assemble,ə'sembl,v.,"集合, 收集, 装配；集合；汇编",,,四级,1
assembly,ə'sembli,n.,"与会者, 集会, 装配, 组件；装配",,,四级,1
assess,ə'ses,v.,"估定, 对...征税, 评定；估计, 估价, 确定(税款罚款等)的金额",,,四级,1
assign,ə'sain,v.,"分配, 指派, 赋值；赋值",,,四级,1
assignment,ə'sainmənt,n.,"分配, 功课, 任务, 转让, 归因, 陈述；赋值",,,四级,1
assist,ə'sist,n./v.,"帮助, 协助；帮助, 促进；协助, 参加",,,四级,1
assistant,ə'sistənt,n./adj.,"助手, 助理, 助教；有帮助的, 辅助的, 助理的",,,四级,1
associate,ə'səuʃieit,n./v.,"同伴, 伙伴, 关联的事物；使联合, 使发生联系；交往；关联",,,四级,1
association,ə.səuʃə'eiʃən,n.,协会；关联,,,四级,1
assume,ə'sju:m,v.,"假定, 承担, 呈现；装腔作势, 僭越",,,四级,1
assumption,ə'sʌmpʃən,n.,"假定, 自负, 担任, 假装；假定, 承担",,,四级,1
assure,ə'ʃuə,v.,"保证, 使确信, 弄清楚, 担保；确信, 保证, 保障",,,四级,1
astonish,ə'stɒniʃ,v.,使惊讶,,,四级,2
astronaut,'æstrənɒ:t,n.,"太空旅行者, 宇航员；美国太空人",,,四级,2
athlete,'æθli:t,n.,"运动员, 运动选手；运动员",,,四级,2
atlantic,ət'læntik,n./adj.,大西洋；大西洋的,,,四级,1
atmosphere,'ætməsfiə,n.,"大气, 空气, 气氛；大气; 大气压",,,四级,1
atmospheric,ætməs'ferik,adj.,大气的；大气的; 大气压的,,,四级,2
atom,'ætəm,n.,"原子, 核能, 微粒, 微量；原子",,,四级,1
atomic,ə'tɒmik,adj.,"原子的, 原子能的；原子的",,,四级,2
attach,ə'tætʃ,v.,"附上, 使依附, 使附属, 使喜爱, 系, 缚；附属, 归属, 联系在一起；挂接服务器命令, 关联, 挂接, 附加",,,四级,1
attack,ə'tæk,n./v.,"攻击, 抨击；攻击, 抨击, 动手干；攻击",,,四级,1
attain,ə'tein,v.,"达到, 获得；达到",,,四级,2
attempt,ə'tempt,n./v.,"尝试, 企图；尝试, 企图",,,四级,1
attend,ə'tend,v.,"参加, 照料, 伴随；专心于, 照顾, 服侍, 出席",,,四级,1
attention,ə'tenʃən,n.,"注意, 注意力；引起注意信号",,,四级,1
attentive,ə'tentiv,adj.,"注意的, 留心的",,,四级,2
attitude,'ætitju:d,n.,"态度, 看法, 姿势；体态, 姿势, 态度",,,四级,1
attract,ə'trækt,v.,"吸引, 诱惑；有吸引力",,,四级,1
attraction,ə'trækʃən,n.,"吸引, 吸引人的事物, 吸引力；吸引",,,四级,1
attractive,ə'træktiv,adj.,"吸引人的, 有魅力的；有吸引力的, 有迷惑力的",,,四级,1
attribute,ə'tribju:t,n./v.,"属性, 标志, 定语；把...归于, 认为...属于；属性",,,四级,1
audience,'ɒ:diəns,n.,"听众, 观众, 读者；听讼, 观众, 听众",,,四级,1
audio,'ɒ:diou,adj.,"音频的, 声音的；声频",,,四级,2
aural,'ɒ:rəl,adj.,"耳的, 听觉的, 气氛的, 气味的, 光环的；耳的; 先兆的",,,四级,2
author,'ɒ:θə,n.,"作家, 作家的著作, 创始人；作者, 著作人, 本人",,,四级,1
authority,ɒ:'θɒriti,n.,"权力, 当权者, 当局, 权威, 专家；代理权, 授权, 权威",,,四级,1
auto,'ɒ:təu,n.,"汽车；表示""自己""、""本身"", 表示""自己的"", 表示""自动的""",,,四级,2
autobiography,.ɒ:təubai'ɒgrəfi,n.,自传,,,四级,2
automatic,.ɒ:tə'mætik,n./adj.,"自动手枪, 自动机械；自动的, 机械的, 必然的, 无意识的",,,四级,1
automatically,.ɒ:tə'mætikli,adv.,"自动地, 机械地",,,四级,1
automation,.ɒ:tə'meiʃən,n.,"自动化, 自动操作；自动学; 自动化",,,四级,2
automobile,'ɒ:təməbi:l,n.,汽车；汽车,,,四级,2
auxiliary,ɒ:g'ziljəri,n./adj.,"辅助者, 辅助物, 附属机构, 助动词；辅助的, 备用的",,,四级,2
available,ə'veiləbl,adj.,"可利用的, 可获得的, 有效的；有效的, 可得的",,,四级,1
avenue,'ævənju:,n.,"大街, 途径, 林荫路",,,四级,1
average,'ævəridʒ,n./adj./v.,"平均, 平均数, 一般水平, 海损；平均的, 中等的, 平常的；算出...平均数, 平均做, 均分, 使平衡；平均为, 呈中间色",,,四级,1
aviation,.eivi'eiʃən,n.,"航空, 航空学, 飞行术；航空, 飞行, 飞行术",,,四级,2
avoid,ə'vɒid,v.,"避免, 防止, 撤消；避免, 回避, 躲开",,,四级,1
await,ə'weit,v.,等候；等待着,,,四级,1
awake,ə'weik,adj./v.,"醒着的；唤醒, 唤起, 使意识到；醒来, 被唤起, 意识到",,,四级,1
award,ə'wɒ:d,n./v.,"奖品, 裁定, 判决；授予, 给予",,,四级,1
aware,ə'wєə,adj.,"知道的, 有觉悟的",,,四级,1
awful,'ɒ:ful,adj.,"可怕的, 庄严的, 虔敬的",,,四级,1
awfully,'ɒ:fuli,adv.,"恶劣地, 非常地, 极端地",,,四级,2
awkward,'ɒ:kwəd,adj.,"笨拙的, 棘手的",,,四级,1
ax,æks,n./v.,"斧头；用斧削或砍, 削减",,,四级,2
axis,'æksis,n.,轴；坐标轴,,,四级,2
bachelor,'bætʃələ,n.,"单身汉, 学士；学士, 单身汉",,,四级,2
background,'bækgraund,n.,"背景, 背景资料；背景, 后台",,,四级,1
backward,'bækwəd,adv./adj.,"向后地, 相反地；向后的, 相反的；倒推",,,四级,2
bacteria,bæk'tiəriə,n.,"细菌；细菌, [无芽胞]杆菌",,,四级,2
badly,'bædli,adv.,"严重地, 恶劣地, 极度地",,,四级,1
badminton,'bædmintən,n.,羽毛球运动,,,四级,2
baggage,'bægidʒ,n.,行李；行李,,,四级,2
bake,beik,v./n.,"烘焙, 烤；烤面包；烘焙, 烤",,,四级,2
balance,'bæləns,n./v.,"平衡, 差额；平衡, 相等；称, 权衡, 比较, 使平衡, 结算, 抵消",,,四级,1
balcony,'bælkəni,n.,"阳台, 戏院楼厅",,,四级,2
balloon,bə'lu:n,n./v.,"气球；使成气球状；膨胀如气球, 激增",,,四级,2
ban,bæn,n./v.,"禁令；禁止, 取缔",,,四级,1
band,bænd,n./v.,"带子, 队, 乐队；联合, 结合；频带; 波段; 区",,,四级,1
bang,bæŋ,n./v./adv.,"重击, 突然巨响, 刘海；发巨响, 重击；砰然地, 突然巨响地, 直接地；撞击符",,,四级,1
banner,'bænə,n./adj.,"旗帜；显著的, 特别好的",,,四级,2
bar,bɑ:,n./v.,"条, 棒, 酒吧, 栅, 障碍物；禁止, 阻挡, 妨碍；棒形图",,,四级,1
barber,'bɑ:bə,n.,理发师,,,四级,2
bare,bєə,adj./v.,"赤裸的, 缺少的, 无遮蔽的, 坦率的；使赤裸, 露出",,,四级,1
barely,'bєəli,adv.,几乎不,,,四级,1
bargain,'bɑ:gin,n./v.,"交易, 买卖协定, 特价商品；讲价, 交易",,,四级,1
bark,bɑ:k,n./v.,"树皮, 吠声；吠, 叫骂；喊出, 剥树皮",,,四级,2
barn,bɑ:n,n.,谷仓；靶(恩)(核反应截面单位),,,四级,1
barrel,'bærəl,n./v.,桶；装入桶内,,,四级,1
barrier,'bæriə,n.,"障碍, 栅栏；势垒; 阻片; 阻挡层",,,四级,1
base,beis,n./v./adj.,"底部, 垒, 基础, 基地；以...作基础；卑鄙的, 低劣的；基准",,,四级,1
baseball,'beisbɒ:l,n.,棒球；棒球系统,,,四级,2
basic,'beisik,n./adj.,"基本原理, 要素, 基本规律；基本的, 碱性的；(计算机)BASIC语言",,,四级,1
basically,'beisikli,adv.,"基本上, 主要地",,,四级,1
basin,'beisn,n.,"盆, 盆地；第三脑室, 骨盆",,,四级,1
basis,'beisis,n.,"基础, 主要成分；基底",,,四级,1
bat,bæt,n./v.,"蝙蝠, 球棒；用球棒打, 眨眼；成批",,,四级,1
bath,bæθ.bɑ:θ,n.,"沐浴, 浴室；浴",,,四级,1
bathe,beið,v.,"沐浴, 用水洗；洗澡",,,四级,2
bathroom,'bɑ:θru:m,n.,"浴室, 厕所",,,四级,1
battery,'bætəri,n.,"电池, 殴打；蓄电池",,,四级,1
battle,'bætl,n./v.,战役；战斗,,,四级,1
bay,bei,n./v.,"海湾, 狗吠声, 月桂；吠, 使走投无路；吠",,,四级,1
beach,bi:tʃ,n.,海滩,,,四级,1
beam,bi:m,n./v.,"横梁, 杆, 光线, 容光焕发；用梁支承, 微笑, 射出光线；照耀, 感到欣喜；束",,,四级,1
bean,bi:n,n.,豆子；油嘴; 豆,,,四级,1
beard,biəd,n./v.,"胡须；抓住胡须, 公开反对",,,四级,2
beast,bi:st,n.,"畜生, 动物, 野兽, 兽性",,,四级,1
beauty,'bju:ti,n.,"美, 美人",,,四级,1
bee,bi:,n.,"蜜蜂, 聚会",,,四级,1
beforehand,bi'fɒ:hænd,adv.,预先,,,四级,2
beg,beg,v.,"乞求, 乞讨, 请求",,,四级,1
beggar,'begə,n./v.,"乞丐；使贫穷, 使成乞丐",,,四级,2
beginner,bi'ginə,n.,初学者,,,四级,2
