word,phonetic,pos,meaning,example_en,example_zh,tags,difficulty
aid,eid,n./v.,"帮助, 外援, 助手；援助, 帮助, 有助于；帮助；自动内部诊断",,,六级,1
aim,eim,n./v.,"目标, 瞄准, 击中目标的能力；对准目标, 致力, 打算；瞄准；医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块；应用接口模块, 医学人工智能, 相联索引法, 异步接口模块；自动化信息管理, 自动化综合制造, 自动化库存管理",,,六级,1
alas,ə'læs,int.,唉,,,六级,2
album,'ælbəm,n.,"粘贴簿, 唱片套；白色物",,,六级,1
alert,ə'lə:t,adj./n./v.,"警觉的, 灵敏的, 留心的；警报；使警觉, 通知, 使意识到",,,六级,1
algebra,'ældʒibrə,n.,代数学,,,六级,2
alien,'eiljən,n./adj.,"外国人, 外侨；外国的, 相异的",,,六级,2
alignment,ə'lainmənt,n.,"队列, 结盟, 校正；校准; 对齐; 对准",,,六级,2
alike,ə'laik,adj./adv.,"相似的, 同样的；一样, 以同样的方式",,,六级,1
alive,ə'laiv,adj.,"活着的, 活泼的, 敏感的, 热闹的",,,六级,1
allegation,.æli'geiʃən,n.,"断言, 主张, 申辩；声明, 事实陈述, 断言",,,六级,1
allege,ə'ledʒ,v.,"宣称, 主张, 提出, 断言；断言, 指称, 指证",,,六级,1
allegiance,ə'li:dʒəns,n.,"忠贞, 效忠",,,六级,2
alleviate,ə'li:vieit,v.,"减轻, 使缓和",,,六级,2
alliance,ə'laiəns,n.,"联盟, 联合；同盟, 联盟, 联姻",,,六级,1
allied,ə'laid,adj.,"联盟的, 联姻的, 联系起来的",,,六级,1
allocate,'æləukeit,v.,"分派, 分配；分配",,,六级,1
allowance,ə'lauəns,n./v.,"津贴, 零用钱, 限额, 折扣, 允许；定量供应",,,六级,1
alloy,'ælɒi. ə'lɒi,n./v.,"合金；将...铸成合金, 减低成色；合铸",,,六级,2
ally,'ælai. ə'lai,n./v.,"同盟者, 同盟国, 助手；使联盟, 使联合, 使有关系；结盟",,,六级,1
alongside,ə'lɒŋ'said,adv./prep.,"在旁边, 靠拢着；在...旁边, 与...在一起",,,六级,1
alphabet,'ælfəbit,n.,字母；字母表,,,六级,2
alter,'ɒ:ltə,v.,改变,,,六级,1
alteration,.ɒ:ltə'reiʃən,n.,"变更, 改动；变更",,,六级,1
alternate,'ɒ:ltənət,adj./v.,"交替的, 轮流的, 间隔的；轮流, (使)交替",,,六级,2
alternative,ɒ:l'tə:nətiv,n./adj.,"两者择一, 供替代的选择；两者择一的, 供选择的；选择对象",,,六级,1
altitude,'æltitju:d,n.,"高度, 海拔, 高处；高度",,,六级,2
aluminium,.ælju'miniəm,n./adj.,铝；铝的,,,六级,2
amateur,'æmətə,n.,"业余爱好者, 外行, 爱好者；业余家",,,六级,2
amaze,ə'meiz,v.,使吃惊,,,六级,2
ambassador,æm'bæsədə,n.,"大使；大使, 使节, 代理",,,六级,1
ambient,'æmbiənt,adj./n.,周围的；周围环境,,,六级,2
ambiguity,.æmbi'gju:iti,n.,"不明确, 含糊；二义性; 多义性",,,六级,2
ambiguous,æm'bigjuəs,adj.,"不明确的, 模棱两可的；意思含糊的, 模棱两可的, 暧昧的",,,六级,2
ambition,æm'biʃən,n.,"野心, 志向",,,六级,1
ambitious,æm'biʃəs,adj.,"有野心的, 抱负不凡的, 雄心勃勃的",,,六级,1
amends,ə'mendz,n.,赔偿；赔偿,,,六级,2
amid,ə'mid,prep.,"在其间, 在其中；在...中",,,六级,2
ampere,'æmpєə,n.,安培；安培,,,六级,3
ample,'æmpl,adj.,"大量的, 充足的, 丰富的",,,六级,2
amplify,'æmplifai,v.,"增强, 放大, 扩大, 详述；引伸",,,六级,2
amplitude,'æmplitju:d,n.,"广阔, 充足, 幅度；振幅",,,六级,2
amuse,ə'mju:z,v.,"消遣, 娱乐, 使发笑",,,六级,2
amusement,ə'mju:zmənt,n.,"兴味, 娱乐, 消遣；娱乐, 娱乐活动",,,六级,2
analogous,ə'næləgəs,adj.,"类似的, 相似的；类似的, 类同的",,,六级,2
analogue,'ænəlɒg,n.,"类似物, 相似情况；类似物, 同型物, 相似器官, 同功异质体",,,六级,2
analogy,ə'nælədʒi,n.,"相似, 类似；模拟",,,六级,2
analyse,'ænəlaiz,v.,"分析, 细察, 分解；分析",,,六级,1
analysis,ə'næləsis,n.,分析；分析机; 分析员; 分析; 分析程序,,,六级,1
analyst,'ænəlist,n.,"分析者, 精神分析学家；分析员; 化验员",,,六级,1
analytic,.ænə'litik,adj.,"分析的, 善于分析的, 解析的；分析的",,,六级,2
analytical,.ænə'litikl,adj.,"分析的, 善于分析的, 解析的；分析的",,,六级,2
ancestor,'ænsestə,n.,"祖先, 祖宗",,,六级,1
anchor,'æŋkə,n./v.,"锚；抛锚停泊, 使固定；锚",,,六级,2
ancient,'einʃənt,adj.,"古代的, 古老的, 年老的, 旧的",,,六级,1
ankle,'æŋkl,n.,"踝；踝, 踝关节",,,六级,1
anniversary,æni'və:səri,n.,周年纪念,,,六级,1
announce,ə'nauns,v.,"宣布, 声称, 显示, 预告；当报幕员, 宣布参加竞选",,,六级,1
annually,'ænjuəli,adv.,"一年一次, 每年；年度的, 每年的",,,六级,2
anode,'ænəud,n.,阳极；阳极; 正极,,,六级,3
anonymous,ə'nɒniməs,adj.,"姓氏不详的, 无名的, 无特色的；无记录",,,六级,1
antarctic,ænt'ɑ:ktik,adj./n.,"南极的, 南极地带的；南极地区",,,六级,2
antenna,æn'tenə,n.,"天线, 触须, 触角；天线",,,六级,2
anticipate,æn'tisipeit,v.,"预期, 占先, 加速, 提前使用；提前出现, 先期发生",,,六级,1
antique,æn'ti:k,n./adj.,"古董, 古物；古老的, 古风的, 旧式的, 过时的",,,六级,2
antisocial,.ænti'səuʃəl,,"不爱社交的, 反社会的, 有害于公众利益的；不喜社交的",,,六级,2
anxiety,æŋ'zaiəti,n.,"焦虑, 忧虑, 令人焦虑的事；焦虑",,,六级,1
anxious,'æŋʃəs,adj.,"忧虑的, 发愁的, 渴望的",,,六级,1
apparatus,.æpə'reitəs,n.,"装置, 器具, 器官；仪器; 器械",,,六级,2
apparent,ə'pærənt,adj.,"清晰可见的, 显然的, 表面上的；外在的",,,六级,1
appeal,ə'pi:l,n./v.,"恳求, 诉请, 上诉, 吸引力；呼吁, 诉请, 要求, 上诉, 有吸引力；将...上诉",,,六级,1
appealing,ə'pi:liŋ,adj.,"有感染力的, 动人的, 恳求的",,,六级,2
appendix,ə'pendiks,n.,"附录, 附加物, 阑尾；增补",,,六级,1
appetite,'æpitait,n.,"食欲, 欲望, 爱好；食欲",,,六级,2
applaud,ə'plɒ:d,v.,"拍手喝彩, 称赞, 赞同",,,六级,2
applause,ə'plɒ:z,n.,"鼓掌, 喝彩, 赞许",,,六级,2
appliance,ə'plaiəns,n.,"器械, 用具, 应用；矫正器; 器",,,六级,2
applicable,'æplikəbl,adj.,"合适的, 可应用的；适用的, 适应的",,,六级,1
application,.æpli'keiʃən,n.,"应用, 申请, 志愿书, 应用程序；应用, 应用程序",,,六级,1
apply,ə'plai,v.,"涂, 应用；申请, 适用",,,六级,1
appoint,ə'pɒint,v.,"任命, 指定, 下令；派, 派任, 任命",,,六级,1
appointment,ə'pɒintmənt,n.,"约会, 委任的职位, 委派；任命, 派, 指定",,,六级,1
appraisal,ə'preizəl,n.,"评价, 估价；评价, 评估",,,六级,2
appraise,ə'preiz,v.,"评价, 估价；评价, 鉴定",,,六级,2
appreciable,ə'pri:ʃiəbl,adj.,"可感知的, 可评估的",,,六级,2
appreciate,ə'pri:ʃieit,v.,"赏识, 鉴别, 为...而感激, 领会, 欣赏；增值, 涨价",,,六级,1
appreciation,ə.pri:ʃi'eiʃən,n.,"感激, 赏识, 鉴别；涨价, 增值",,,六级,1
approach,ə'prəutʃ,n./v.,"接近, 入门；接近, 近似, 找...商量；靠近",,,六级,1
appropriate,ə'prəupriət,adj.,"适当的；适当的, 拨出, 占用",,,六级,1
approval,ə'pru:vl,n.,"赞成, 批准；核准",,,六级,1
approve,ə'pru:v,v.,"赞同, 核准, 为...提供证据；赞许",,,六级,1
approximate,ə'prɒksimət,adj./v.,"大约的, 接近的, 近似的；接近, 使接近, 粗略估计；接近于",,,六级,2
approximately,ə'prɒksimətli,adv.,"大约, 大致, 近于；大约, 近似",,,六级,1
apt,æpt,adj.,"有...倾向的, 易于的, 恰当的, 聪明的；自动数控语言, 自动图象传输, 自动程序控制, 自动程序设计工具",,,六级,2
arabian,ə'reibiən,adj.,"阿拉伯的, 阿拉伯人的",,,六级,2
arbitrary,'ɑ:bitrəri,adj.,"任意的, 武断的, 专治的, 霸道的",,,六级,2
arc,ɑ:k,n.,"弧, 弧形, 弓形, 弧光；弧",,,六级,2
arch,ɑ:tʃ,n./v./adj.,"拱门, 拱形, 足弓；使成弓形；拱起, 成弓形；主要的, 调皮的, 傲慢无礼的, 狡猾的",,,六级,1
architect,'ɑ:kitekt,n.,"建筑师, 设计者, 缔造者",,,六级,1
architecture,'ɑ:kitektʃə,n.,"建筑学, 建筑式样；体系结构",,,六级,1
arctic,'ɑ:ktik,adj./n.,"北极的, 极寒的；北极圈, 北极",,,六级,2
argue,'ɑ:gju,v.,"提出理由, 争论, 辩论；主张, 辩论, 证明, 说服",,,六级,1
arise,ə'raiz,v.,"站立, 出现, 起来",,,六级,1
arithmetic,ə'riθmətik,n.,"算术, 算术知识；算术; 算术的",,,六级,2
arouse,ə'rauz,v.,"唤醒, 鼓励, 引起；醒来",,,六级,1
array,ə'rei,n./v.,"排列, 衣服, 大批, 军队；布署, 打扮, 排列；数组; 阵列",,,六级,1
arrest,ə'rest,n./v.,"逮捕, 监禁；拘捕, 抑制, 吸引, 阻止",,,六级,1
arrogant,'ærəɡənt,adj.,"自大的, 傲慢的",,,六级,2
articulate,ɑ:'tikjulit,adj./v.,"发音清晰的, 口才好的；明白地说, 以关节连接, 使成为系统的整体",,,六级,2
artificial,.ɑ:ti'fiʃəl,adj.,"人造的, 假的, 非原地产的；人工的, 人造的, 伟牟",,,六级,1
artistic,ɑ:'tistik,adj.,"艺术的, 艺术家的, 富有艺术性的",,,六级,1
ascend,ə'send,v.,"上升, 追溯, 登高；攀登",,,六级,2
ascertain,.æsə'tein,v.,"确定, 查明；查明, 弄清, 确定",,,六级,2
ascribe,ə'skraib,v.,"归因于, 归咎于；归咎于",,,六级,2
ashore,ə'ʃɒ:,adv.,"向岸, 在岸上",,,六级,2
aspect,'æspekt,n.,"外观, 方面, 面貌, 方向；方面, 局面; 外观",,,六级,1
aspiration,.æspə'reiʃən,n.,"热望, 志向, 渴望；吸入; 吸[引], 吸引术",,,六级,1
ass,æs,n.,"驴, 傻瓜, 笨蛋, 屁股；模拟仿真系统",,,六级,2
assassinate,ə'sæsineit,v.,"暗杀, 行刺；暗杀, 行刺, 中伤",,,六级,2
assault,ə'sɒ:t,n./v.,"攻击, 袭击；袭击, 攻击；发动攻击",,,六级,1
assemble,ə'sembl,v.,"集合, 收集, 装配；集合；汇编",,,六级,1
assert,ə'sə:t,v.,"主张, 坚称, 断言；宣称, 断言, 维护",,,六级,1
assertive,ə'sə:tiv,adj.,"武断的, 过分自信的；断言的",,,六级,2
assess,ə'ses,v.,"估定, 对...征税, 评定；估计, 估价, 确定(税款罚款等)的金额",,,六级,1
assessment,ə'sesmənt,n.,"评估, 估定, 评定的款额；评估",,,六级,1
asset,'æset,n.,"资产, 有益的东西",,,六级,1
assign,ə'sain,v.,"分配, 指派, 赋值；赋值",,,六级,1
assignment,ə'sainmənt,n.,"分配, 功课, 任务, 转让, 归因, 陈述；赋值",,,六级,1
assimilate,ə'simileit,v.,"使同化, 吸收, 使相拟, 把...比作；被吸收, 被同化",,,六级,2
assimilation,ə.simi'leiʃən,n.,"同化, 同化作用, 吸收；同化; 同化作用",,,六级,2
assist,ə'sist,n./v.,"帮助, 协助；帮助, 促进；协助, 参加",,,六级,1
assistant,ə'sistənt,n./adj.,"助手, 助理, 助教；有帮助的, 辅助的, 助理的",,,六级,1
associate,ə'səuʃieit,n./v.,"同伴, 伙伴, 关联的事物；使联合, 使发生联系；交往；关联",,,六级,1
association,ə.səuʃə'eiʃən,n.,协会；关联,,,六级,1
assume,ə'sju:m,v.,"假定, 承担, 呈现；装腔作势, 僭越",,,六级,1
assumption,ə'sʌmpʃən,n.,"假定, 自负, 担任, 假装；假定, 承担",,,六级,1
assurance,ə'ʃuərəns,n.,"保证, 把握, 信心, 保险；保证, 担保, 保险",,,六级,1
assure,ə'ʃuə,v.,"保证, 使确信, 弄清楚, 担保；确信, 保证, 保障",,,六级,1
astonishment,ə'stɒniʃmənt,n.,"惊异, 惊愕, 使人惊异的事物",,,六级,2
astronaut,'æstrənɒ:t,n.,"太空旅行者, 宇航员；美国太空人",,,六级,2
astronomy,ə'strɒnəmi,n.,天文学,,,六级,2
athlete,'æθli:t,n.,"运动员, 运动选手；运动员",,,六级,2
athletic,æθ'letik,adj.,运动的,,,六级,2
atmosphere,'ætməsfiə,n.,"大气, 空气, 气氛；大气; 大气压",,,六级,1
atmospheric,ætməs'ferik,adj.,大气的；大气的; 大气压的,,,六级,2
atom,'ætəm,n.,"原子, 核能, 微粒, 微量；原子",,,六级,1
attach,ə'tætʃ,v.,"附上, 使依附, 使附属, 使喜爱, 系, 缚；附属, 归属, 联系在一起；挂接服务器命令, 关联, 挂接, 附加",,,六级,1
attachment,ə'tʃætʃmənt,n.,"连接, 附属物, 连接物, 爱慕；附加, 附件",,,六级,2
attack,ə'tæk,n./v.,"攻击, 抨击；攻击, 抨击, 动手干；攻击",,,六级,1
attain,ə'tein,v.,"达到, 获得；达到",,,六级,2
attempt,ə'tempt,n./v.,"尝试, 企图；尝试, 企图",,,六级,1
attendance,ə'tendəns,n.,"出席, 出席的人数, 照料；管理, 照料, 资助",,,六级,1
attendant,ə'tendənt,n./adj.,"随从, 侍者, 出席者；侍候的, 伴随的, 出席的, 在场的",,,六级,2
attent,ə'tent,,"注意的, 留意的",,,六级,3
attentive,ə'tentiv,adj.,"注意的, 留心的",,,六级,2
attorney,ə'tə:ni,n.,"代理人, 律师；律师, 代理人",,,六级,2
attribute,ə'tribju:t,n./v.,"属性, 标志, 定语；把...归于, 认为...属于；属性",,,六级,1
audience,'ɒ:diəns,n.,"听众, 观众, 读者；听讼, 观众, 听众",,,六级,1
augment,ɒ:g'ment,v.,"增加, 增长；增加; 增量; 添加",,,六级,2
aural,'ɒ:rəl,adj.,"耳的, 听觉的, 气氛的, 气味的, 光环的；耳的; 先兆的",,,六级,2
authentic,ɒ:'θentik,adj.,"可靠的, 可信的, 真正的；被认证的, 确认的, 可信的",,,六级,2
author,'ɒ:θə,n.,"作家, 作家的著作, 创始人；作者, 著作人, 本人",,,六级,1
authority,ɒ:'θɒriti,n.,"权力, 当权者, 当局, 权威, 专家；代理权, 授权, 权威",,,六级,1
automate,'ɔ:təmeit,v.,vi. (使)自动化；自动化,,,六级,2
automatic,.ɒ:tə'mætik,n./adj.,"自动手枪, 自动机械；自动的, 机械的, 必然的, 无意识的",,,六级,1
automation,.ɒ:tə'meiʃən,n.,"自动化, 自动操作；自动学; 自动化",,,六级,2
automobile,'ɒ:təməbi:l,n.,汽车；汽车,,,六级,2
auxiliary,ɒ:g'ziljəri,n./adj.,"辅助者, 辅助物, 附属机构, 助动词；辅助的, 备用的",,,六级,2
avail,ə'veil,v./n.,"有用, 有利；有利于；效用, 利益",,,六级,2
availability,ə.veilə'biliti,n.,"有效性, 可利用性, 可利用的人；有效性; 可用性",,,六级,1
available,ə'veiləbl,adj.,"可利用的, 可获得的, 有效的；有效的, 可得的",,,六级,1
avert,ə'və:t,v.,"转开, 避免, 防止",,,六级,2
aviation,.eivi'eiʃən,n.,"航空, 航空学, 飞行术；航空, 飞行, 飞行术",,,六级,2
awake,ə'weik,adj./v.,"醒着的；唤醒, 唤起, 使意识到；醒来, 被唤起, 意识到",,,六级,1
award,ə'wɒ:d,n./v.,"奖品, 裁定, 判决；授予, 给予",,,六级,1
awful,'ɒ:ful,adj.,"可怕的, 庄严的, 虔敬的",,,六级,1
awkward,'ɒ:kwəd,adj.,"笨拙的, 棘手的",,,六级,1
axial,'æksiəl,adj.,"轴的, 成轴的, 轴向的；轴的, 中轴的",,,六级,2
axis,'æksis,n.,轴；坐标轴,,,六级,2
axle,'æksl,n.,"轴, 车轴；轴",,,六级,2
bachelor,'bætʃələ,n.,"单身汉, 学士；学士, 单身汉",,,六级,2
backbone,'bækbəun,n.,"脊椎, 志气, 骨干, 支柱；主干网, 主干网点",,,六级,2
bacon,'beikən,n.,熏猪肉；腌肉,,,六级,2
bacteria,bæk'tiəriə,n.,"细菌；细菌, [无芽胞]杆菌",,,六级,2
bacterium,bæk'tiəriəm,n.,细菌；[无芽胞]杆菌属,,,六级,1
badge,bædʒ,n.,"徽章, 标记；标记",,,六级,2
badminton,'bædmintən,n.,羽毛球运动,,,六级,2
baffle,'bæfl,v./n.,"困惑, 为难, 使挫折；徒作挣扎；迷惑, 挡板",,,六级,2
bait,beit,n./v.,"饵；以饵引诱, 欺负；中途休息",,,六级,2
balcony,'bælkəni,n.,"阳台, 戏院楼厅",,,六级,2
bald,bɒ:ld,adj./v.,"秃头的, 光秃的, 单调的, 赤裸的；变秃",,,六级,2
ballet,'bælei,n.,芭蕾舞,,,六级,1
ballot,'bælət,n./v.,"投票, 投票用纸, 抽签；投票, 抽签；投票选出, 拉选票",,,六级,2
bamboo,bæm'bu:,n.,竹子；竹类,,,六级,2
ban,bæn,n./v.,"禁令；禁止, 取缔",,,六级,1
bandage,'bændidʒ,n.,绷带；帘布筒; 实心轮胎; 紧带; 绷带,,,六级,2
bandit,'bændit,n.,强盗,,,六级,2
bang,bæŋ,n./v./adv.,"重击, 突然巨响, 刘海；发巨响, 重击；砰然地, 突然巨响地, 直接地；撞击符",,,六级,1
banker,'bæŋkə,n.,"银行家, 庄家；银行业者, 银行家",,,六级,1
bankrupt,'bæŋkrʌpt,n./adj./v.,破产者；破产的；使破产,,,六级,2
bankruptcy,'bæŋkrəptsi,n.,"破产者；破产, 倒闭",,,六级,2
banquet,'bæŋkwit,n.,宴会,,,六级,2
barely,'bєəli,adv.,几乎不,,,六级,1
bargain,'bɑ:gin,n./v.,"交易, 买卖协定, 特价商品；讲价, 交易",,,六级,1
